"Issue","status","Priority","Responsible","CE Comments","Response or Action taken by SB","SB Note","Date Due","Date Completed","SB Status","Risk","SB Owner"
"Burners correct parts","Pending","Low","Walter/Mats/hugo","Pipe connections were too short and need to be replaced (for now there are mix of pipes as a temporary solution)","Walter: Correct size will be ordered","Get the gas guys to change and replace as required",,,,,
"Burners mecanical testing","Pending","Med","Walter","Burner 1 and 2 tested. Boiler pending","Boiler burner not functioning (unknown issues).","Bioler burner to be commisioned. On propane and syngas!",,,,,
"Burner size","Complete",,"Walter","Update may 13th: burners might be too big?","Don't think this is an issue anymore for the startup, but SB needs to confirm this.","Programing of the Burners",,,,,
"Burners BCU testing","Pending","Med","Walter / Guard","Burner 2 tested. Burner 1 and boiler pending Burner 1 BCU giving issues around purging and warm up.","BCU issue in Burner 1 has been solved. Guard now working on running burner 1 and 2 independently instead of linked. Boiler burner not functioning (unable to test BCU)","Control philosophy is changed to allow Independent operation. Needs final adjustments",,,,,
"Boiler commissioing","Pending","Med","CE + Guard","Has not been tested at all.",,"Responsibility CE",,,,,
"boiler shut off valve (ON/OFF isloation valve(s)","Pending","High","SB","Shut-off valve for boiler pipe not yet installed, a flow block cap has been installed in its place, keep in mind that this line is closed.",,"To be decided The block cap is a temporary solution avoiding syngas to enter the boiler burner.",,,,,
"Dryer comissioning","Pending","Med","CE","Has not been tested at all ; we don't know the material throughput capacity, the drying capacity, dust formation, electrical consumption, etc. There are also mechanical issues that we have already identified: Material is falling through the mesh levels and getting accumulated - risk of damage. Likely need a bypass option","Proposed solution is to narrow the biomass surface on the mesh, and to lower the side barriers so they work properly.",,,,,,
"Gear box for main reactor motor","Pending","High","SB","Current configuration only allows for limited retention times (max 10 minutes). Gear box is needed to increase this range (up to 30 minutes acoording to Walter). Gear box has been ordered 13 april but unknown delivery date",,"Gearbox ready for shipment from supplier 10 June 26 (this week). Waiting for shipping confirmation.",,,,,
"Refrigeration unit","Pending","Med","SB","Original unit was underdimensioned. Temporary solution has been to run an open water circuit. Walter needs to run at full power to obtain data needed to properly dimension a replacement unit, order it, install it, and test it.","Solution proposed by SB is a cooling tower 6m tall with a capacity of 63kW, low energy consumption but has water consumption of 100L per hour. SB will send technical info for cooling tower and for refrigeration unit so we can compare.","Cooling unit or cooling tower to be decided by CE. SB will find supplier of cooling unit.",,,,,
"cooling screws","Pending","Low","SB / CE","SB and CE have both identified that the screws grind down the biochar into fine particles which create an insulation barrier, preventing proper cooling. Additionally, the biochar abrasiveness creates wear on the screw edge, which will accelerate the need for replacement.",,,,,,,
